@relation 'ionosphere-weka.filters.unsupervised.attribute.Remove-V-R3,6,7,14,26,27'

@attribute a03 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a14 numeric
@attribute a26 numeric
@attribute a27 numeric

@data
0.97714,0.46259,0.71771,0.93945,0.17849,-0.83314
-1,0,0.50814,0,-0.59609,-1
0.74084,0.02543,0.78575,0.07348,0.15445,0.64158
1,0,0.77941,0,-1,-1
1,-0.03142,1,-0.09002,-0.22083,0.9649
0,0,0,0,0,1
0.95704,-0.1269,0.96365,-0.24719,-0.19233,0.88793
0.28409,0,0.68182,-0.84848,0.17803,1
0.9449,-0.03692,0.98898,-0.12493,-0.29852,1
0,0,0,0,0,1
0.99449,-0.11313,0.88237,0.02966,-0.19872,0.87579
0.10135,0,0,0,-1,1
1,-0.73371,0.89518,-0.86402,-0.76904,0.53777
0.65909,0,0,0,0,1
0.86284,0.41149,0.67203,0.85671,0.25747,-0.63038
0.42,0,1,0,0.68,1
1,0.52013,0.7802,0.88248,0.03591,-0.71731
0.91353,1,-0.39466,-0.0897,0.00002,-0.00001
0.21429,0.07143,0.19048,-0.04762,-0.04762,0.22109
1,0.04918,0.57377,0,-0.34426,0.52385
0.98182,0.03131,0.86249,0.08436,0.22727,0.64581
0.39286,0.11342,-0.16628,0.30729,0.70238,0.51971
0.86889,-0.02494,1,-0.07287,0.03556,1
0.43636,-0.14545,0.18182,0.29091,0.16364,0.41098
1,0.75472,0.49057,0.07547,0.79245,0.92192
0.7381,-0.2381,0.33333,0,-0.10234,0.24889
0.4375,-0.10417,0.39583,0.10417,-0.1875,0.44012
1,0,0,0.45489,-1,1
0.95217,0.1303,0.90996,0.34328,0.44199,0.34374
0.5984,0.80521,0.76001,-0.85727,-0.30063,1
0.95882,-0.01918,0.98313,-0.03096,-0.15675,0.95677
0,0.85388,0,-0.59212,0,1
0.96933,0.00843,0.98658,-0.01271,-0.04527,0.99188
0,-0.22703,0.18919,-0.2,0,1
0.64122,-0.02439,0.52751,0.04878,0.09756,0.19304
1,-1,0,-1,0,1
0.34694,0.2449,0.40816,0.55102,0.22449,-0.46579
0,-1,0,-0.25342,0,1
0.89706,0.375,0.74265,0.86029,-0.125,-0.67925
-1,0.15033,-0.75693,0.33987,-0.43137,0.74385
0.26667,0,0.33333,0.08333,0.13333,0.46214
-0.26667,0.12159,-0.17778,0.02726,-0.0005,0.00019
1,0.2973,0.64865,0,-0.2973,0.61031
0.94531,-0.33203,-1,0.16406,-0.00391,0.82041
0.95202,-0.01272,0.93526,-0.03064,-0.04451,0.96215
1,-1,0.5,-0.11111,-0.27778,1
0.31034,-0.10345,0.2069,-0.02383,-0.0009,-0.00025
0.62745,0,0.60784,-0.13725,-0.2549,0.52409
0.25,0.26667,0.19036,0.10188,-0.00539,-0.00621
-0.65625,0,0,0.09375,-0.46875,0.03125
1,-0.02703,1,0.08649,0.09189,0.98556
0.85271,0.08069,1,0.27153,0.03876,1
0.90374,0.08021,1,0,0.05348,0.96974
-0.205,0.1,0.2825,0.275,-0.24,0.3219
0.6,0.06667,0.7,0,0.13333,0.65932
0.05866,0.00838,0,0.05307,0.00559,0.10335
0.94653,0.67248,0.47564,0.56079,-0.64792,0.16085
0.0546,0.04598,0.01437,0.0431,-0.00862,0.00862
0.72414,0.01084,0.8,0.03251,-0.01478,0.78041
0.03852,0,0.01997,-0.02282,0.01854,0.03994
0.4709,0.33598,0.25661,0.31217,0.00265,0.03574
0.08696,-0.04119,0.10526,0.0778,-0.10297,0.08467
0.94333,0.64534,0.21572,0,-0.05484,0.60098
0.01975,-0.00846,0.02116,-0.03103,-0.01269,0.01834
0.85736,-0.05676,0.77521,-0.06124,-0.01942,0.82383
1,1,-1,-1,-1,1
0.85209,0.76432,0.08858,0.10768,-0.23324,0.71698
1,0.5125,0.625,1,1,1
1,1,0.01961,0.11765,-0.21569,0.92874
0,-1,-1,1,0.4375,1
0.44444,0.90763,-0.22222,-0.11111,0,0.9212
0,0,0,0,0,1
1,0,0.5,0.1421,0.5,0.73944
-1,1,0,-1,-1,1
1,0,0.66667,-0.22222,0,0.90347
0,0,0,-1,0,1
1,-0.45455,1,-0.27273,-0.09091,1
0.62121,0,0,0.51894,-0.27273,0.25758
1,0.23529,1,0.11765,-0.11765,1
0,-0.62766,1,-0.59043,0,-0.19149
0.91667,-0.16667,0.70833,0.125,-0.125,0.83796
0.1859,0,0,-0.19071,0.08974,0.17308
1,-0.11326,0.99246,-0.47265,-0.96296,0.48757
1,1,-1,0.05702,-0.66667,1
1,0.00369,0.80244,-0.30539,-0.52142,0.29208
-1,-1,0,1,1,1
0.92247,-0.17674,0.87024,-0.49639,-0.63601,0.09312
-1,1,1,-1,1,0.33333
0.84177,0.7616,0.09916,0.19409,-0.28903,0.77937
1,0,1,-1,-1,1
1,1,0.77123,1,-1,0.19235
-1,-1,0,-1,-1,1
1,0.14211,1,0.48981,1,1
-1,0,0,0,-1,1
0.64947,-0.1438,-0.13129,-0.31997,-0.25124,-0.00046
0,0,0,0.26042,0.5,0.04167
1,0.10123,0.96142,0.25283,0.27226,0.3293
1,-1,-1,-1,0.36508,1
0.93669,0.43204,0.92314,0.08172,-0.02589,0.87293
1,1,1,1,1,1
1,-0.78509,1,-0.06861,-0.01253,0.96238
0.36876,-1,-0.07661,-0.79313,0.06639,0.03443
0.79847,-0.16964,1,0.02105,-0.14541,1
0,0,0,1,1,1
1,-0.25346,0.94623,-0.44119,-0.73333,0.35504
0,0,0,-1,1,-1
1,-0.09091,0.77273,0.04545,0.04545,0.91541
0,1,1,-1,-1,-1
0.91176,0.17647,0.82353,0.14706,0.02941,0.92663
-1,0.15244,0.28354,1,-1,-1
0.47368,0.01756,0.83155,0.05028,0.21053,0.65419
-0.00641,0,-0.01923,0,0,-0.61538
1,0.54545,0.81818,-0.45455,-0.09091,1
-1,-1,-1,-1,1,1
0.45455,0.09091,0.27273,-0.09091,-0.09091,0.34442
-1,0,-1,0,0.23387,1
1,0.71429,1,0.02534,-0.28571,1
1,-1,1,-1,-1,1
0.87032,0.82161,0.1038,0.16731,-0.24843,0.69097
1,1,1,-1,1,1
0.92657,0.15766,0.86098,0.40552,0.55274,0.26978
1,-1,1,-1,0,1
0.93537,0.25359,0.85705,0.75,0.7978,-0.20995
1,1,-1,-1,0,1
0.80627,0.24323,0.64615,0.57308,0.40006,-0.1994
1,1,1,1,-1,1
0.97467,0.20036,0.88783,0.52284,0.7621,0.16813
0,1,0,-1,0,1
0.92308,0.29757,0.72582,0.74676,0.65708,-0.38798
0,1,1,-1,0,1
0.88804,0.69431,0.29148,0.56502,-0.61055,0.30406
1,1,1,-1,-1,1
0.73523,0.10278,0.78826,0.28954,0.57549,0.44174
0,0,0,0,0,1
0.94649,-0.0026,0.98922,0.04719,0.08101,0.95243
1,-1,-1,-1,0,1
0.50466,0.01513,0.71063,0.04393,0.18065,0.59935
0.68729,-0.76087,0.81773,0.18227,-0.53846,0.89262
0.76296,-0.2963,1,-0.12581,-0.26481,0.92148
0.38521,0.07393,0.26459,0.36965,0.28482,-0.06024
0.5754,-0.05357,0.61508,-0.02381,0.03968,0.61291
0.06404,0.05911,0.08374,-0.09852,0.16256,0.28079
0.61857,-0.06935,0.70358,-0.00224,-0.09508,0.69845
0.25316,0,-0.2962,0,0.35696,0.0557
0.88103,-0.02465,0.94105,0.01179,-0.19507,0.88245
0.42708,0,0,0,-0.40833,-1
0.88853,0.01305,0.92442,-0.01033,-0.14138,0.86453
0,0.12889,0.88444,0.19556,0,1
0.81143,-0.00143,0.79,-0.06714,-0.06857,0.81598
0,0,0,1,0,1
0.4987,-0.0961,0.50649,-0.11948,0,0.53215
0,0,0,0,0,1
1,0.25,0.25,0.60793,-0.12744,-0.02089
0,0,1,-0.11111,0,1
0.87048,0.69212,0.31347,0.5156,-0.66421,0.38544
0,0,0,0.37333,0,1
0.88179,0.77655,0.19672,0.33652,-0.5591,0.72147
0.32834,0.21278,0.14919,0.25786,-0.06295,0.33737
0.83427,0.78579,0.12326,0.21909,-0.27734,0.83008
0.62335,0.00481,0.60409,0.0722,0.14079,0.60463
0.74449,0.03309,0.72243,0.00551,-0.15809,0.61727
0.61538,0.0178,0.77486,0.0506,-0.07231,0.58803
0.68317,0.00202,0.84341,0.00585,-0.04243,0.70824
0.5,0.10435,0.4913,0.04783,-0.0087,0.41789
0.7983,0.20656,0.71628,0.60814,0.63183,-0.11925
1,0.25101,0.9839,0.71942,0.75596,-0.22839
0.8941,0.31543,0.78896,0.76161,0.50489,-0.46215
0.94631,0.33143,0.85096,0.83614,0.76482,-0.58563
0.91767,0.35543,0.72873,0.81795,0.53886,-0.60328
0.76627,0.38112,0.48409,0.44545,-0.03229,-0.33942
0.5894,0.55298,0.81126,0.12252,0.26653,0.49013
1,-0.12144,0.81594,0.12524,0.37381,0.4909
0.84843,-0.02299,0.77031,-0.05771,-0.22822,0.48659
1,-0.00482,0.96683,-0.01436,0.02003,0.93772
0.47938,-0.12371,0.70103,0.15979,0.19588,0.53396
0.6351,0.02968,0.61432,-0.43418,0.23095,0.68775
0.50112,0.01348,0.58876,-0.04719,0.04944,0.56588
0.71521,-0.04207,0.63107,0.15858,-0.05502,0.45105
0.68148,0.03457,0.65185,0.04938,-0.1284,0.63773
0.60678,0.04068,0.52881,-0.02034,-0.0339,0.57262
0.49515,0.05825,0.34951,0.04854,-0.15049,0.36547
0.98822,0.341,0.83904,0.60179,0.69714,-0.16556
0.97905,0.35237,0.82039,0.83156,0.58324,-0.57587
0.99701,0.4703,0.76902,0.83312,0.15908,-0.66651
0.94331,0.40803,0.80514,0.89489,0.30912,-0.77097
0.93972,0.52821,0.58167,0.89335,-0.26883,-0.63237
0.89835,0.62233,0.43898,0.48816,-0.5362,0.07158
0.29073,0.17293,0.03759,0.12767,-0.01505,-0.00886
0.58459,0.35338,0.75376,0.06391,-0.04699,0.56836
0.83609,0.06059,0.65829,0.12686,0.1453,0.23641
0.9408,0.01038,0.85124,0.03027,0.0222,0.79058
0.87111,0.18297,0.99009,-0.26724,-0.09193,0.85967
0.74916,0.09792,0.75855,-0.00469,-0.01207,0.82271
0.47337,-0.18343,0.62316,0.27515,-0.02367,0.46514
0.59887,-0.13936,0.85122,-0.0452,-0.33145,0.61444
0.84713,-0.08493,0.81953,-0.11677,-0.26115,0.74115
0.87772,0.07337,0.84783,-0.10598,-0.1875,0.83705
0.74704,0.16996,0.72727,-0.1917,-0.10474,0.61847
0.46785,0.00665,0.55432,-0.16186,-0.20177,0.5393
0.88116,0.42881,0.61559,0.892,-0.26356,-0.67557
0.93147,0.55756,0.59952,0.9513,-0.46906,-0.65165
0.88241,0.57816,0.34109,0.71996,-0.67605,-0.3161
0.83479,0.47702,0.49234,0.77681,-0.52954,-0.1695
0.9287,0.62349,0.49305,0.8359,-0.74735,-0.22323
0.83367,0.57671,0.34962,0.66541,-0.66014,-0.0153
0.98455,-0.04104,1,-0.07458,-0.08341,0.96653
0.94052,0.01001,0.94994,-0.01767,-0.04476,0.92695
0.97032,-0.00228,0.96575,-0.08447,0.06849,0.94043
0.52542,0.08475,0.52542,0.28814,0.15254,0.67287
0.33333,0.22222,0.38889,-0.08443,0.08333,0.41543
0.51207,0.5381,0.71178,1,0.35175,-1
0.75564,0.54301,0.54916,0.93778,-0.29099,-0.70352
0.83789,0.58385,0.45625,0.78497,-0.67796,-0.05054
0.93658,0.6564,0.45571,0.83397,-0.84951,-0.04578
0.92436,0.6842,0.29303,0.78766,-0.88082,0.19765
1,-0.05558,1,-0.01731,-0.22978,1
0.95559,-0.13244,0.94982,-0.14247,-0.01664,0.84132
0.79378,0.52312,0.41319,0.72328,-0.5254,0.01523
0.88085,0.65128,0.34816,0.6959,-0.75533,0.17041
0.89589,0.71804,0.29521,0.58511,-0.85703,0.53229
1,-0.20253,0.87342,0.06329,-0.37975,0.84637
0.7479,0.01659,0.82638,0.04731,0.08403,0.63728
0.85013,0.01456,0.92046,0.0432,0.10853,0.86923
1,-0.00343,1,-0.02187,-0.04931,0.99842
0.89505,0.05545,0.89505,-0.01584,0.02376,0.89002
0.90071,-0.01773,0.90071,0.01064,0.0461,0.94305
0.39394,0.0127,0.45455,0.15152,0.05929,0.46362
0.86689,0.66667,0.37201,0.67577,-0.59954,0.1536
0.89563,0.69438,0.35916,0.62078,-0.73856,0.33531
0.90547,0.74761,0.29921,0.55086,-0.85368,0.67538
1,0.06158,0.12993,0.36946,-0.4595,0.85471
1,0.33333,0.06061,0,-0.39394,0.72961
0.8811,-0.02744,0.93598,0.00915,0.04878,0.89666
0.82624,-0.08156,0.90426,-0.00709,0.15957,0.89527
0.74468,0.00982,0.88542,0.02912,0.11348,0.83429
0.87578,0.00343,0.8921,0.00994,-0.04348,0.82111
0.97513,0.01954,1,0.03552,0.03552,0.9754
1,0.01105,1,0.0232,-0.00663,0.98033
1,0.01566,1,0.02908,0.10067,0.99989
0.8842,0.67382,0.39613,0.58842,-0.69774,0.26028
0.90147,0.75725,0.3044,0.50949,-0.82154,0.74105
0.32789,0.29308,0.1402,0.24865,-0.1856,0.39599
0.65845,0.74804,0.05319,0.07111,-0.18645,0.74758
0.19466,0.25191,-0.10557,0.0916,0.24692,0.03913
0.98002,0,0.98982,0.03073,0.08107,0.96709
0.82254,0.00231,0.87514,0.05029,-0.0237,0.76717
0.35346,-0.02423,0.68195,-0.06527,-0.00564,0.39146
0.76046,0.00258,0.85821,0.00744,-0.00303,0.70886
0.66667,0.06831,0.4959,-0.48907,0.06967,0.68656
0.83508,-0.14706,0.84349,0.06723,-0.04202,0.83479
0.95113,-0.02723,0.93438,0.0733,0.01361,0.93522
0.94701,-0.03227,0.95177,0.04688,0.03193,0.92489
0.90608,-0.01989,0.95691,-0.01436,-0.02099,0.89147
0.8471,-0.06151,0.87873,-0.00351,-0.15114,0.81147
